SAPSyncPlant,SapSyncAvailableRetries,SAPSyncEvent,SAPSyncTagID,SAPSyncUser,SAPSyncScanZone,id,SAPSync,ScanZone,SAPSyncErrorMessage,SAPSyncTime,serialTag,serial
7394,4,ChangeStatus,201309228726030001019D6C,root,7394_INUSE,3892,false,7394_InUse,Tag ID :20130914872603000101297A Not assosciated to any Equipment.,1442703685886,20130914872603000101297A,12628220
7394,4,ChangeStatus,201309148726030001012A10,root,7394_INUSE,10854,false,7394_InUse,Tag ID :201309148726030001012A10 Not assosciated to any Equipment.,1442693995495,201309148726030001012A10,12633449
7370,4,ChangeStatus,20130923872603000101AFC4,root,7370_LOCALRDTEST,4064,false,7370_LocalRDTest,Tag ID :20130923872603000101AFC4 Not assosciated to any Equipment.,1442501478610,20130923872603000101AFC4,12633702
7395,4,ChangeStatus,201309208726030001017262,root,7395_NI,6088,false,7395_NI,Tag ID :201309208726030001017262 Not assosciated to any Equipment.,1437808276297,201309208726030001017262,12636316
7395,4,ChangeStatus,201309198726030001015F24,root,7395_INUSE,6038,false,7395_InUse,Tag ID :201309198726030001015F24 Not assosciated to any Equipment.,1437594427288,201309198726030001015F24,12636320
7395,4,ChangeStatus,201309148726030001011ABF,root,7395_INUSE,6072,false,7395_InUse,Tag ID :201309148726030001011ABF Not assosciated to any Equipment.,1438879781396,201309148726030001011ABF,12650483
7395,4,ChangeStatus,201309188726030001015447,root,7395_INUSE,6020,false,7395_InUse,Tag ID :201309188726030001015447 Not assosciated to any Equipment.,1438883536367,201309188726030001015447,12650499
7395,4,ChangeStatus,201309208726030001016C52,root,7395_INUSE,6466,false,7395_InUse,Tag ID :201309208726030001016C52 Not assosciated to any Equipment.,1437091935563,201309208726030001016C52,12650500
7395,3,ChangeStatus,20130918872603000101449A,bupkaw,7395_AVAILABLE,6019,false,7395_Available,Tag ID :20130918872603000101449A Not assosciated to any Equipment.,1438116473333,20130918872603000101449A,12650548
7395,4,ChangeStatus,201309188726030001014317,root,7395_NI,6371,false,7395_NI,Tag ID :201309188726030001014317 Not assosciated to any Equipment.,1438172848163,201309188726030001014317,12656645
7395,3,ChangeStatus,201309208726030001016ACE,root,7395_NI,6181,false,7395_NI,Tag ID :201309208726030001016ACE Not assosciated to any Equipment.,1438627924383,201309208726030001016ACE,12656659
7370,4,ChangeStatus,201309228726030001019F51,root,7370_NI,3632,false,7370_NI,Tag ID :201309228726030001019F51 Not assosciated to any Equipment.,1442503232504,201309228726030001019F51,12662712
7395,4,ChangeStatus,201309208726030001016A75,root,7395_NI,6185,false,7395_NI,Tag ID :201309208726030001016A75 Not assosciated to any Equipment.,1440421066202,201309208726030001016A75,12664606
7395,4,ChangeStatus,20130918872603000101549E,root,7395_NI,6027,false,7395_NI,Tag ID :20130918872603000101549E Not assosciated to any Equipment.,1441124705962,20130918872603000101549E,12664882
7395,4,ChangeStatus,201309158726030001012FEC,root,7395_NI,6175,false,7395_NI,Tag ID :201309158726030001012FEC Not assosciated to any Equipment.,1438627928117,201309158726030001012FEC,12664899
7395,4,ChangeStatus,201309208726030001016C5E,root,7395_INUSE,6459,false,7395_InUse,Tag ID :201309208726030001016C5E Not assosciated to any Equipment.,1437594434490,201309208726030001016C5E,12664919
7395,3,ChangeStatus,2013092287260300010198CC,root,7395_NI,4441,false,7395_NI,Tag ID :2013092287260300010198CC Not assosciated to any Equipment.,1437759441545,2013092287260300010198CC,12664920
7395,2,ChangeStatus,201309208726030001016F5F,root,7395_NI,6024,false,7395_NI,Tag ID :201309208726030001016F5F Not assosciated to any Equipment.,1440734805878,201309208726030001016F5F,12664955
7395,4,ChangeStatus,2013091987260300010180CF,root,7395_NI,6110,false,7395_NI,Tag ID :2013091987260300010180CF Not assosciated to any Equipment.,1440277829231,2013091987260300010180CF,12665359
7395,4,ChangeStatus,201309198726030001018031,root,7395_NI,6108,false,7395_NI,Tag ID :201309198726030001018031 Not assosciated to any Equipment.,1440421053452,201309198726030001018031,12665362
7395,4,ChangeStatus,201309198726030001017D8B,root,7395_NI,5997,false,7395_NI,Tag ID :201309198726030001017D8B Not assosciated to any Equipment.,1441124704993,201309198726030001017D8B,12665374
7394,4,ChangeStatus,201309208726030001017381,root,7394_INUSE,4391,false,7394_InUse,Tag ID :201309208726030001017381 Not assosciated to any Equipment.,1435751244907,201309208726030001017381,12665547
7394,4,ChangeStatus,20130914872603000101299B,root,7394_INUSE,10837,false,7394_InUse,Tag ID :20130914872603000101299B Not assosciated to any Equipment.,1442703679808,20130914872603000101299B,12670880
7394,4,ChangeStatus,201309138726030001010F1D,root,7394_INUSE,11018,false,7394_InUse,Tag ID :201309138726030001010F1D Not assosciated to any Equipment.,1442697499362,201309138726030001010F1D,12670881
7395,3,ChangeStatus,201309148726030001011BF0,root,7395_NI,6113,false,7395_NI,Tag ID :201309148726030001011BF0 Not assosciated to any Equipment.,1440888542161,201309148726030001011BF0,12674714
7395,4,ChangeStatus,201309148726030001011C59,root,7395_INUSE,6116,false,7395_InUse,Tag ID :201309148726030001011C59 Not assosciated to any Equipment.,1438080608568,201309148726030001011C59,12674716
7395,4,ChangeStatus,20130918872603000101435D,root,7395_NI,6374,false,7395_NI,Tag ID :20130918872603000101435D Not assosciated to any Equipment.,1438728165097,20130918872603000101435D,12675731
7393,4,ChangeStatus,20130924872603000101CACF,medinaa,7393_AVAILABLE,8484,false,7393_Available,Tag ID :20130924872603000101CACF Not assosciated to any Equipment.,1440859451692,20130924872603000101CACF,12675742
7394,4,ChangeStatus,20130913872603000101167C,root,7394_INUSE,11050,false,7394_InUse,Tag ID :20130913872603000101167C Not assosciated to any Equipment.,1442411802362,20130913872603000101167C,12675756
7395,4,ChangeStatus,2013092087260300010172E3,root,7395_NI,6091,false,7395_NI,Tag ID :2013092087260300010172E3 Not assosciated to any Equipment.,1440774111674,2013092087260300010172E3,12688906
7395,4,ChangeStatus,201309148726030001011C2F,root,7395_NI,6086,false,7395_NI,Tag ID :201309148726030001011C2F Not assosciated to any Equipment.,1437808572751,201309148726030001011C2F,12694289
7394,4,ChangeStatus,201309218726030001018DC0,root,7394_INUSE,10756,false,7394_InUse,Tag ID :201309218726030001018DC0 Not assosciated to any Equipment.,1441779472405,201309218726030001018DC0,12712486
7394,4,ChangeStatus,201309198726030001017C34,root,7394_NI,4600,false,7394_NI,Tag ID :201309198726030001017C34 Not assosciated to any Equipment.,1442775446592,201309198726030001017C34,12715248
7394,4,ChangeStatus,201309198726030001017C33,root,7394_NI,4599,false,7394_NI,Tag ID :201309198726030001017C33 Not assosciated to any Equipment.,1442775454889,201309198726030001017C33,12715274
7394,4,ChangeStatus,201309188726030001015683,root,7394_NI,3717,false,7394_NI,Tag ID :201309188726030001015683 Not assosciated to any Equipment.,1439347184105,201309188726030001015683,12715639
